name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,business_associate_present,web_description
"Homestead Bldg Sys,Inc.Health  Plan",VA,Health Plan,727,4/21/2022,Hacking/IT Incident,Network Server,No,
The Energy Cooperative Group Benefits Plan,OH,Health Plan,875,4/21/2022,Hacking/IT Incident,Network Server,No,
County of Los Angeles Department of Mental Health,CA,Healthcare Provider,5129,4/20/2022,Hacking/IT Incident,Email,No,
"Healthplex, Inc.",NY,Health Plan,89955,4/20/2022,Hacking/IT Incident,Email,No,
"Wayne Family Practice Associates, PC",GA,Healthcare Provider,5944,4/19/2022,Hacking/IT Incident,Network Server,No,
"Fairfield County Implants and Periodontics, LLC",CT,Healthcare Provider,10502,4/19/2022,Hacking/IT Incident,Email,No,
"Optima Dermatology Holdings, LLC",NH,Healthcare Provider,59872,4/18/2022,Hacking/IT Incident,Email,No,
Canon Business Process Services Inc,NY,Business Associate,1625,4/15/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,
Canon Business Process Services Inc,NY,Business Associate,745,4/15/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,
Canon Business Process Services Inc,NY,Business Associate,8015,4/15/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,
New Creation Counseling Center ,OH,Healthcare Provider,24029,4/14/2022,Hacking/IT Incident,"Network Server, Other",No,
Newman Regional Health,KS,Healthcare Provider,52224,4/14/2022,Hacking/IT Incident,Email,No,
Onehome Health Solutions,FL,Healthcare Provider,15401,4/13/2022,Theft,Laptop,No,
Lutheran Services Carolinas,NC,Business Associate,1226,4/12/2022,Hacking/IT Incident,Network Server,Yes,
Adaptive Health Integrations,ND,Healthcare Provider,510574,4/11/2022,Hacking/IT Incident,Network Server,No,
The MetroHealth System,OH,Healthcare Provider,1748,4/11/2022,Unauthorized Access/Disclosure,"Electronic Medical Record, Email, Paper/Films",No,
"Pediatric Associates, P.C.",VA,Healthcare Provider,13000,4/8/2022,Hacking/IT Incident,Network Server,Yes,
Ballad Health,TN,Healthcare Provider,4295,4/8/2022,Hacking/IT Incident,Email,No,
East Tennessee Children's Hospital,TN,Healthcare Provider,501,4/7/2022,Hacking/IT Incident,Network Server,No,
SummaCare Inc,OH,Health Plan,716,4/7/2022,Unauthorized Access/Disclosure,Network Server,No,
Advantage Benefits Group,MI,Business Associate,7147,4/6/2022,Hacking/IT Incident,Email,Yes,
State of Arizona Department of Administration,AZ,Health Plan,820,4/5/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,
Englewood Health,NJ,Healthcare Provider,3901,3/30/2022,Hacking/IT Incident,Network Server,No,
"Law Enforcement Health Benefits, Inc.",PA,Health Plan,85282,3/28/2022,Hacking/IT Incident,Network Server,No,
Medical Surgical Eye Care,KS,Healthcare Provider,2000,3/28/2022,Hacking/IT Incident,Network Server,No,
"Charleston Area Medical Center, Inc.",WV,Healthcare Provider,54000,3/28/2022,Hacking/IT Incident,Email,No,
Lutheran Social Services of Illinois,IL,Healthcare Provider,1000,3/25/2022,Hacking/IT Incident,Network Server,No,
"Christie Business Holdings Company, P.C.",IL,Healthcare Provider,502869,3/25/2022,Hacking/IT Incident,Email,No,
Advanced Medical Practice Management,NJ,Business Associate,56427,3/23/2022,Hacking/IT Incident,Network Server,Yes,
"Thomas Allen, Inc.",MN,Healthcare Provider,2803,3/23/2022,Hacking/IT Incident,Email,No,
Taylor Regional Hospital ,KY,Healthcare Provider,190209,3/21/2022,Hacking/IT Incident,Network Server,No,
Livingston Memorial VNA Health Corporation and its affiliates Livingston Memorial Visiting Nurse Association and Livingston CareGivers,CA,Healthcare Provider,34775,3/21/2022,Hacking/IT Incident,Network Server,No,
Cancer and Hematology Centers of Western Michigan ,MI,Healthcare Provider,43071,3/18/2022,Hacking/IT Incident,Network Server,No,
Wheeling Health Right Inc,WV,Healthcare Provider,3912,3/18/2022,Hacking/IT Incident,Network Server,No,
Central Minnesota Mental Health Center,MN,Healthcare Provider,28725,3/17/2022,Hacking/IT Incident,Email,No,
Eye Group of Southern Indiana,IN,Healthcare Provider,4002,3/15/2022,Hacking/IT Incident,Network Server,No,
Laboratorio Clinico Toledo,,Healthcare Provider,500,3/14/2022,Hacking/IT Incident,Network Server,No,
"Trinity Home Care, Inc.",MA,Healthcare Provider,1541,3/14/2022,Hacking/IT Incident,Network Server,No,
Capital Region Medical Center,MO,Healthcare Provider,17578,3/11/2022,Hacking/IT Incident,Network Server,No,
Labette Health,KS,Healthcare Provider,85635,3/11/2022,Hacking/IT Incident,Network Server,No,
"Dialyze Direct, LLC",NJ,Healthcare Provider,14203,3/10/2022,Hacking/IT Incident,Email,No,
New Jersey Brain and Spine,NJ,Healthcare Provider,92453,3/10/2022,Hacking/IT Incident,Network Server,No,
"Gainwell Technologies, LLC",TX,Business Associate,810,3/10/2022,Unauthorized Access/Disclosure,Network Server,Yes,
"Gainwell Technologies, LLC",TX,Business Associate,1955,3/10/2022,Unauthorized Access/Disclosure,Network Server,Yes,
"Parkland Community Health Plan, Inc.",TX,Health Plan,1682,3/8/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,
Central Indiana Orthopedics,IN,Healthcare Provider,83705,3/7/2022,Hacking/IT Incident,Network Server,No,
"South Denver Cardiology Associates, PC",CO,Healthcare Provider,287652,3/4/2022,Hacking/IT Incident,Network Server,No,
"Indiana Hemophilia and Thrombosis Center, Inc.",IN,Healthcare Provider,2575,3/4/2022,Hacking/IT Incident,Email,No,
University of Michigan/Michigan Medicine,MI,Healthcare Provider,2921,3/3/2022,Hacking/IT Incident,Email,No,
"Molecular Pathology Laboratory Network, Inc.",TN,Healthcare Provider,339471,3/3/2022,Hacking/IT Incident,Network Server,No,
Crossroads Health,OH,Healthcare Provider,10324,3/2/2022,Hacking/IT Incident,Network Server,No,
"LGAA, LLC",UT,Health Plan,864,3/1/2022,Hacking/IT Incident,Network Server,No,
"UMass Memorial Health, Inc.",MA,Business Associate,4270,2/28/2022,Hacking/IT Incident,Email,Yes,
Norwood Clinic,AL,Healthcare Provider,228000,2/25/2022,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
Bako Diagnostics,GA,Healthcare Provider,25745,2/25/2022,Hacking/IT Incident,Network Server,No,
University Medical Center Southern Nevada,NV,Healthcare Provider,12230,2/24/2022,Hacking/IT Incident,Email,Yes,
Houston Health Department,TX,Healthcare Provider,10291,2/24/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Ultimate Care, Inc.",NY,Healthcare Provider,15788,2/23/2022,Hacking/IT Incident,Email,No,
"Alliance Physical Therapy Group, LLC",MI,Business Associate,197588,2/23/2022,Hacking/IT Incident,Network Server,Yes,
"Community Association of Progressive Dominicans, Inc. ",NY,Healthcare Provider,656,2/23/2022,Hacking/IT Incident,Email,No,
Zoe Therapy Services  ,VA,Healthcare Provider,1100,2/23/2022,Hacking/IT Incident,Email,No,
Logan Health Medical Center,MT,Healthcare Provider,213543,2/22/2022,Hacking/IT Incident,Network Server,No,
Ascension Michigan (single affiliated covered entity) ACE,MI,Healthcare Provider,27177,2/22/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,
Memorial village er,TX,Healthcare Provider,80000,2/19/2022,Hacking/IT Incident,Network Server,No,
"US Radiology Specialists, Inc.",NC,Business Associate,87552,2/18/2022,Hacking/IT Incident,Network Server,Yes,
Cooper University Health Care,NJ,Healthcare Provider,1039,2/14/2022,Hacking/IT Incident,Email,No,
Family Fare LLC,MI,Healthcare Provider,3892,2/11/2022,Hacking/IT Incident,Network Server,Yes,
CVS Pharmacy,RI,Healthcare Provider,6221,2/11/2022,Hacking/IT Incident,Network Server,No,
"Jacksonville Spine Center, P.A.",FL,Healthcare Provider,38000,2/10/2022,Hacking/IT Incident,Network Server,No,
Seneca Nation Health System,NY,Healthcare Provider,12000,2/8/2022,Hacking/IT Incident,Network Server,No,
South Shore Hospital Corporation,IL,Healthcare Provider,115175,2/7/2022,Hacking/IT Incident,Network Server,No,
"Cross Timbers Health Clinics, Inc/ d/b/a AccelHealth",TX,Healthcare Provider,48126,2/7/2022,Hacking/IT Incident,Network Server,No,
"Morley Companies, Inc.",MI,Business Associate,521046,2/1/2022,Hacking/IT Incident,Network Server,Yes,
Family Christian Health Center,IL,Healthcare Provider,31000,1/28/2022,Hacking/IT Incident,Network Server,No,
Spencer Gifts LLC Health and Welfare Benefit Plan,NJ,Health Plan,10023,1/24/2022,Hacking/IT Incident,Network Server,No,
OneDigital OBO Guardian Life Insurance Company of America,NY,Business Associate,800,1/24/2022,Hacking/IT Incident,Network Server,Yes,
"Medical Healthcare Solutions, Inc. ",MA,Business Associate,133997,1/22/2022,Hacking/IT Incident,Network Server,Yes,
Walgreen Co.,IL,Healthcare Provider,1471,1/21/2022,Unauthorized Access/Disclosure,Paper/Films,No,
University of Arkansas for Medical Sciences ,AR,Healthcare Provider,518,1/21/2022,Unauthorized Access/Disclosure,Email,No,
"Advocates, Inc.",MA,Healthcare Provider,68236,1/21/2022,Hacking/IT Incident,Network Server,No,
Medical Review Institute of America,UT,Business Associate,2406,1/20/2022,Hacking/IT Incident,Network Server,Yes,
Raveco Medical,NY,Healthcare Provider,4897,1/17/2022,Hacking/IT Incident,Network Server,No,
Albany Family Dentistry,MN,Healthcare Provider,1117,1/14/2022,Hacking/IT Incident,Email,No,
"Vantage Holding Company, LLC",PA,Healthcare Provider,1762,1/14/2022,Hacking/IT Incident,Network Server,No,
"Digital Insurance, LLC doing business as OneDigital",GA,Business Associate,2051,1/14/2022,Hacking/IT Incident,Network Server,Yes,
Oscar Insurance Corporation of Ohio,OH,Health Plan,504,1/13/2022,Unauthorized Access/Disclosure,Paper/Films,No,
Oscar Health Plan of California,NJ,Health Plan,7632,1/13/2022,Unauthorized Access/Disclosure,Paper/Films,No,
Oscar Buckeye State Insurance Corporation,OH,Health Plan,791,1/13/2022,Unauthorized Access/Disclosure,Paper/Films,No,
Millennium Eye Care LLC,NJ,Healthcare Provider,6050,1/13/2022,Hacking/IT Incident,Network Server,No,
"Lakeshore Bone & Joint Institute, PC",IN,Healthcare Provider,23627,1/10/2022,Hacking/IT Incident,Email,No,
Medical Review Institute of America,UT,Business Associate,134571,1/7/2022,Hacking/IT Incident,Network Server,Yes,
DataXport,TX,Business Associate,8181,1/7/2022,Hacking/IT Incident,Network Server,Yes,
"Advent Health Partners, Inc.",TN,Business Associate,1383,1/6/2022,Hacking/IT Incident,Email,Yes,
Ravkoo,FL,Healthcare Provider,105000,1/3/2022,Hacking/IT Incident,Other,No,
"Sherrill House, Inc.",MA,Healthcare Provider,5006,1/3/2022,Hacking/IT Incident,Email,No,
"Virtual Private Network Solutions, LLC d/b/a VPN Solutions, LLC",VA,Business Associate,500,12/30/2021,Hacking/IT Incident,Network Server,Yes,
Loyola University Medical Center,IL,Healthcare Provider,16934,12/30/2021,Hacking/IT Incident,Email,No,
"Hoya Optical Labs of America, Inc.",TX,Business Associate,14099,12/29/2021,Hacking/IT Incident,Network Server,Yes,
Douglas C Morrow ODPC,IN,Healthcare Provider,5269,12/28/2021,Hacking/IT Incident,Network Server,No,
"Pithadia Medical Professional Services, Inc.",IN,Healthcare Provider,1624,12/28/2021,Hacking/IT Incident,Network Server,No,
Advocate Aurora Health,WI,Healthcare Provider,1729,12/28/2021,Loss,Paper/Films,No,
Walgreen Co.,IL,Healthcare Provider,1352,12/27/2021,Loss,Paper/Films,No,
"Fertility Centers of Illinois, PLLC",IL,Healthcare Provider,79943,12/27/2021,Hacking/IT Incident,Network Server,No,
C.E. Niehoff & Company ,IL,Health Plan,1509,12/23/2021,Hacking/IT Incident,Network Server,No,
Duneland School Corporation,IN,Health Plan,7000,12/23/2021,Hacking/IT Incident,Network Server,No,
"Daniel J. Edelman Holdings, Inc.",IL,Health Plan,184500,12/22/2021,Hacking/IT Incident,Network Server,Yes,
Rhode Island Public Transit Authority,RI,Health Plan,5015,12/21/2021,Hacking/IT Incident,Network Server,No,
Chaddock,IL,Healthcare Provider,777,12/21/2021,Theft,Paper/Films,No,
Northwest Broward Orthopaedics Associates,FL,Healthcare Provider,500,12/17/2021,Hacking/IT Incident,"Desktop Computer, Network Server",No,
"Eduro Healthcare, LLC",UT,Healthcare Provider,8059,12/9/2021,Hacking/IT Incident,Email,No,
"Weddell Pediatric Dental Specialists, LLC",IN,Healthcare Provider,5356,12/8/2021,Hacking/IT Incident,Email,No,
Javery Pain Institute ,MI,Healthcare Provider,1387,12/8/2021,Hacking/IT Incident,Email,No,
"Summit Surgical, LLC",KS,Healthcare Provider,4910,12/7/2021,Hacking/IT Incident,Network Server,No,
"Oregon Anesthesiology Group, P.C.",OR,Healthcare Provider,750500,12/6/2021,Hacking/IT Incident,Network Server,No,
"Bansley and Kiener, LLP",IL,Business Associate,70941,12/3/2021,Hacking/IT Incident,Network Server,Yes,
Mertz Manufacturing Inc Health Insurance Plan,OK,Health Plan,868,12/3/2021,Hacking/IT Incident,Network Server,No,
"Great Plains Manufacturing, Inc",KS,Health Plan,4110,12/1/2021,Hacking/IT Incident,Network Server,No,
AMITA Health Medical Group Primary Care Hoffman Estates,IL,Healthcare Provider,1647,11/30/2021,Unauthorized Access/Disclosure,Email,No,
Broward County Public Schools,FL,Health Plan,49608,11/29/2021,Hacking/IT Incident,Network Server,No,
Region IV Area Agency on Aging,MI,Health Plan,3171,11/29/2021,Hacking/IT Incident,Email,No,
"Neuro Rehab Associates, Inc. d/b/a Northeast Rehabilitation Hospital Network",NH,Healthcare Provider,501,11/29/2021,Hacking/IT Incident,Network Server,No,
Upstate HomeCare,NY,Healthcare Provider,5114,11/24/2021,Hacking/IT Incident,Network Server,No,
Huntington Hospital,NY,Healthcare Provider,12925,11/24/2021,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Minnesota Women's Care, P.A.",MN,Healthcare Provider,1900,11/24/2021,Unauthorized Access/Disclosure,Paper/Films,No,
One Community Health,OR,Healthcare Provider,39865,11/22/2021,Hacking/IT Incident,Network Server,No,
"Anthem, Inc.",IN,Business Associate,2003,11/19/2021,Hacking/IT Incident,Network Server,Yes,
Episcopal Retirement Services,OH,Healthcare Provider,4133,11/18/2021,Hacking/IT Incident,Network Server,No,
Marietta Area Health Care Inc. dba Memorial Health System,OH,Healthcare Provider,501,11/17/2021,Hacking/IT Incident,Network Server,No,
True Health New Mexico,NM,Health Plan,62983,11/17/2021,Hacking/IT Incident,Network Server,No,
"Magnet Solutions, Inc.",NE,Business Associate,1553,11/15/2021,Unauthorized Access/Disclosure,Paper/Films,Yes,
University of Houston for UH College of Optometry,TX,Healthcare Provider,18500,11/12/2021,Hacking/IT Incident,Network Server,No,
"The Centers for Advanced Orthopaedics, LLC",MD,Healthcare Provider,21162,11/11/2021,Hacking/IT Incident,Network Server,No,
Tom Wood Inc. Health Care Plan,IN,Health Plan,2235,11/11/2021,Hacking/IT Incident,Network Server,No,
Ophthalmology Associates,MN,Healthcare Provider,67000,11/11/2021,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
Integrated Services of Kalamazoo,MI,Healthcare Provider,3754,11/10/2021,Hacking/IT Incident,Email,No,
The Urology Center of Colorado,CO,Healthcare Provider,137820,11/5/2021,Hacking/IT Incident,Network Server,No,
University Hospital  ,NJ,Healthcare Provider,10067,11/5/2021,Unauthorized Access/Disclosure,Other,No,
Mowery Clinic LLC,KS,Healthcare Provider,96000,11/5/2021,Hacking/IT Incident,Network Server,No,
New York Psychotherapy and Counseling Center,NY,Healthcare Provider,28000,11/5/2021,Hacking/IT Incident,Network Server,No,
"Consociate, Inc.",IL,Business Associate,48583,11/3/2021,Hacking/IT Incident,Network Server,Yes,
Putnam County Memorial Hospital,MO,Healthcare Provider,6916,11/3/2021,Hacking/IT Incident,Network Server,No,
"Utah Imaging Associates, Inc.",UT,Healthcare Provider,582170,11/3/2021,Hacking/IT Incident,Network Server,No,
Washington DC VA Medical Center,DC,Healthcare Provider,1193,11/1/2021,Unauthorized Access/Disclosure,Email,No,
Sea Mar Community Health Centers,WA,Healthcare Provider,688000,10/30/2021,Hacking/IT Incident,Network Server,No,
"NHS Management, LLC",AL,Business Associate,501,10/29/2021,Hacking/IT Incident,Network Server,Yes,
Lincare Holdings Inc.,FL,Healthcare Provider,2918444,10/26/2021,Hacking/IT Incident,Network Server,No,
"Star Group, L.P. Health Benefits Plan ",CT,Health Plan,9316,10/22/2021,Hacking/IT Incident,Network Server,No,
Educators Mutual Insurance Association,UT,Health Plan,8661,10/22/2021,Hacking/IT Incident,Network Server,No,
"QRS, Inc.",TN,Business Associate,319778,10/22/2021,Hacking/IT Incident,Network Server,Yes,
"UMass Memorial Health Care, Inc.",MA,Business Associate,209048,10/15/2021,Hacking/IT Incident,Email,Yes,
"Syracuse ASC, LLC",NY,Healthcare Provider,24891,10/14/2021,Hacking/IT Incident,Network Server,No,
University Hospital,NJ,Healthcare Provider,9329,10/8/2021,Unauthorized Access/Disclosure,"Electronic Medical Record, Other",No,
Independent Health Corporation,NY,Business Associate,541,10/8/2021,Unauthorized Access/Disclosure,Email,Yes,
OSF HealthCare System,IL,Healthcare Provider,53907,10/1/2021,Hacking/IT Incident,Network Server,No,
Eskenazi Health,IN,Healthcare Provider,1515918,10/1/2021,Hacking/IT Incident,Network Server,No,
Premier Management Company ,TX,Healthcare Provider,37636,9/30/2021,Unauthorized Access/Disclosure,"Laptop, Other, Other Portable Electronic Device",No,
"Digital Insurance, LLC doing business as OneDigital",GA,Health Plan,895,9/24/2021,Hacking/IT Incident,Network Server,No,
"Navistar, Inc. Health Plan and the Navistar, Inc. Retiree Health Benefit and Life Insurance Plan",IL,Health Plan,49000,9/24/2021,Hacking/IT Incident,Network Server,No,
Cerebral Medical Group,FL,Healthcare Provider,875,9/21/2021,Unauthorized Access/Disclosure,Other,No,
"McAllen Surgical Specialty Center, Ltd.",TX,Healthcare Provider,29227,9/20/2021,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Laptop, Network Server",No,
Illinois Department of Human Services and Illinois Department of Healthcare and Family Services ,IL,Healthcare Provider,1960,9/20/2021,Hacking/IT Incident,Network Server,No,
Famous Enterprises Inc. Employee Benefit Plan,OH,Health Plan,528,9/17/2021,Hacking/IT Incident,Network Server,No,
Simon Eye Management,DE,Healthcare Provider,144373,9/14/2021,Hacking/IT Incident,Email,No,
Talbert House,OH,Healthcare Provider,45000,9/10/2021,Hacking/IT Incident,Network Server,No,
"HBP Financial Services Group, LTD",CT,Business Associate,938,9/8/2021,Hacking/IT Incident,Email,Yes,
"Radiology Associates of Albuquerque, PA and Advanced Imaging, LLC",NM,Healthcare Provider,501,9/8/2021,Hacking/IT Incident,Network Server,No,
"ADEC, Inc.",IN,Healthcare Provider,2000,9/3/2021,Hacking/IT Incident,Email,No,
"USV Optical, Inc.",NJ,Healthcare Provider,180000,9/3/2021,Hacking/IT Incident,Network Server,No,
Dan L. Beaupre,WI,Business Associate,2000,9/1/2021,Unauthorized Access/Disclosure,"Network Server, Paper/Films",Yes,
"DuPage Medical Group, Ltd. ",IL,Healthcare Provider,655384,8/30/2021,Hacking/IT Incident,Network Server,No,
"CareATC, Inc.",OK,Healthcare Provider,98774,8/27/2021,Hacking/IT Incident,Email,No,
Family Medical Center of Michigan ,MI,Healthcare Provider,21988,8/26/2021,Hacking/IT Incident,Network Server,No,
"Denton County, Texas",TX,Healthcare Provider,326417,8/24/2021,Unauthorized Access/Disclosure,Network Server,No,
Gregory P. Vannucci DDS,IA,Healthcare Provider,26144,8/20/2021,Hacking/IT Incident,Network Server,No,
Nova Biomedical Corporation,MA,Health Plan,3774,8/17/2021,Hacking/IT Incident,Network Server,No,
Youth Consultation Service,NJ,Healthcare Provider,2756,7/19/2021,Hacking/IT Incident,Network Server,No,
